region,price,year,cylinders,fuel,odometer,title_status,transmission,drive,lat,long
boise,84900,2018.0,6,1,39000.0,1,1,1,43.6023,-116.1649
boise,7900,2011.0,6,1,97088.0,1,1,1,43.5741,-116.2941
east idaho,26788,2018.0,6,1,29137.0,1,1,1,43.5937,-116.536
chicago,14500,2015.0,6,1,112000.0,2,1,1,41.9463,-87.8061
peoria,32600,2019.0,6,1,36400.0,1,1,1,42.9468,-83.817
peoria,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
"quad cities, IA/IL",31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
rockford,15500,2018.0,6,1,125000.0,1,1,1,42.3545,-89.0397
"st louis, MO",64900,2020.0,6,1,270.0,1,1,3,38.479267,-90.848964
fort wayne,26997,2020.0,6,1,22000.0,3,1,1,42.8187,-85.5244
indianapolis,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
indianapolis,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
indianapolis,15900,2015.0,6,1,127200.0,1,1,1,39.193119,-84.24725
indianapolis,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
indianapolis,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
indianapolis,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
cedar rapids,31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
des moines,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
iowa city,31695,2019.0,6,1,30000.0,1,1,1,42.018791,-91.632453
iowa city,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
waterloo / cedar falls,37995,2020.0,6,1,32000.0,1,1,1,42.018791,-91.632453
bowling green,14882,2015.0,6,1,151780.0,2,1,1,36.107596,-86.743824
bowling green,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
bowling green,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
bowling green,19442,2018.0,6,1,104624.0,2,1,1,36.107596,-86.743824
bowling green,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
bowling green,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
bowling green,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
bowling green,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
bowling green,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
bowling green,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
bowling green,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
louisville,31900,2019.0,6,1,29497.0,1,1,1,36.4641,-86.65828
louisville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
louisville,34500,2019.0,6,1,7646.0,1,1,1,36.4641,-86.65828
louisville,32700,2019.0,6,1,13646.0,1,1,1,36.4641,-86.65828
louisville,32900,2019.0,6,1,6735.0,1,1,1,36.4641,-86.65828
louisville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
louisville,38300,2020.0,6,1,7540.0,1,1,1,36.4641,-86.65828
louisville,32800,2018.0,6,1,43479.0,1,1,1,36.4641,-86.65828
louisville,34800,2019.0,6,1,31020.0,1,1,1,36.4641,-86.65828
